"state","year","cohens_h","h_interpretation"
"CA",2014,0.194825278429147,"Balanced"
"TX",2014,0.0675221413521493,"Balanced"
"IL",2014,0.167011563944956,"Balanced"
"NC",2014,0.146666268809352,"Balanced"
"MO",2014,0.215142968124892,"Mildly Imbalanced"
"WA",2014,0.09588631837475,"Balanced"
"OH",2014,0.0105606066955476,"Balanced"
"FL",2014,-0.125678486029976,"Balanced"
"NY",2014,-0.0930604684648567,"Balanced"
"TN",2014,0.0462570571584977,"Balanced"
"SC",2014,0.0653238850445049,"Balanced"
"CT",2014,0.0768423497347888,"Balanced"
"AZ",2014,-0.0226484251373978,"Balanced"
"CO",2014,0.00215078890012171,"Balanced"
"NE",2014,0.111222636075334,"Balanced"
"NJ",2014,-0.0763832423027339,"Balanced"
"VA",2014,-0.074148207798354,"Balanced"
"PA",2014,-0.177697430624551,"Balanced"
"GA",2014,-0.12015326650486,"Balanced"
"MA",2014,-0.070977995635602,"Balanced"
"MD",2014,-0.0570816282256955,"Balanced"
"IA",2014,-0.0126705259365254,"Balanced"
"NV",2014,0.00313388125853736,"Balanced"
"MS",2014,-0.0167742153682477,"Balanced"
"WI",2014,-0.112692771103648,"Balanced"
"MI",2014,-0.204987524537538,"Mildly Imbalanced"
"OK",2014,-0.0630022703828231,"Balanced"
"OR",2014,-0.0869080021798599,"Balanced"
"SD",2014,0.0301265720950102,"Balanced"
"NH",2014,-0.00698739329599879,"Balanced"
"MT",2014,0.00316886820992902,"Balanced"
"KS",2014,-0.0974483994620955,"Balanced"
"ND",2014,-0.00392815712580957,"Balanced"
"VT",2014,-0.00992606551733555,"Balanced"
"LA",2014,-0.168277391495615,"Balanced"
"RI",2014,-0.0361608875997973,"Balanced"
"MN",2014,-0.18938599044835,"Balanced"
"IN",2014,-0.248888909280552,"Mildly Imbalanced"
"ID",2014,-0.11113783760732,"Balanced"
