"state","year","cohens_h","h_interpretation"
"AZ",2015,0.371887360676334,"Mildly Overstop Male"
"CA",2015,0.402928793531023,"Mildly Overstop Male"
"CO",2015,0.350364258971463,"Mildly Overstop Male"
"CT",2015,0.27769434825053,"Mildly Overstop Male"
"FL",2015,0.34467550792416,"Mildly Overstop Male"
"GA",2015,0.247978714898403,"Mildly Overstop Male"
"IA",2015,0.330224724401672,"Mildly Overstop Male"
"IL",2015,0.273703245144065,"Mildly Overstop Male"
"KS",2015,0.129079988782993,"Balanced"
"KY",2015,0.283664063098418,"Mildly Overstop Male"
"LA",2015,0.38692989124828,"Mildly Overstop Male"
"MA",2015,0.410327774989827,"Mildly Overstop Male"
"MN",2015,0.320918378430097,"Mildly Overstop Male"
"MS",2015,0.220433946405917,"Mildly Overstop Male"
"MT",2015,0.358536231942121,"Mildly Overstop Male"
"NC",2015,0.248725603290716,"Mildly Overstop Male"
"ND",2015,0.398834362716785,"Mildly Overstop Male"
"NH",2015,0.268316485575266,"Mildly Overstop Male"
"NJ",2015,0.399363729879926,"Mildly Overstop Male"
"NV",2015,0.0976879580898027,"Balanced"
"NY",2015,0.394442320269479,"Mildly Overstop Male"
"OH",2015,0.382404483784142,"Mildly Overstop Male"
"OK",2015,0.238800877874179,"Mildly Overstop Male"
"PA",2015,0.533478565737414,"Overstop Male"
"RI",2015,0.472040051824167,"Mildly Overstop Male"
"SC",2015,0.319888571228992,"Mildly Overstop Male"
"SD",2015,0.380190587683193,"Mildly Overstop Male"
"TN",2015,0.338730021816057,"Mildly Overstop Male"
"TX",2015,0.343498208950323,"Mildly Overstop Male"
"VT",2015,0.276916519345031,"Mildly Overstop Male"
"WA",2015,0.31433627722164,"Mildly Overstop Male"
"WI",2015,0.270196514573237,"Mildly Overstop Male"
